execution_mode,prompt_length,request_count,request_rate,arrival_pattern,max_num_batched_tokens,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,itl_p99_ms,e2e_p95_ms,exact_fraction_vs_first_budget,min_matched_prefix_vs_first_budget,decode_only_iterations,prefill_only_iterations,mixed_iterations,mean_token_budget_utilization
fully-eager,512,16,20.0,poisson,512,9.335612974427988,597.4792303633913,5377.313073270521,49.44657175458675,62.43472373799603,63.17250483028113,16.10181189792615,16.827481564149142,16.870864489973183,20.40888974443078,21.13151317462325,1109.244956215478,1.0,64,83,1,23,0.1679322429906542
fully-eager,512,16,20.0,poisson,1024,9.474092983977439,606.3419509745561,5457.077558771005,33.45875542765907,42.84298476722819,42.995524873240065,15.755917584996611,16.2225152303036,16.244562026039358,20.47717198729515,21.189899183809757,1055.2361568990796,1.0,64,92,1,15,0.08318865740740741
fully-eager,512,16,20.0,poisson,2048,9.457289621373732,605.2665357679189,5447.39882191127,29.867109824613927,37.35688627290701,39.35525836257867,15.844985144212842,16.179151949472725,16.208815952718613,20.433791913092136,20.83735167980194,1050.1874451645442,1.0,64,93,1,14,0.041594328703703706
fully-eager,512,16,20.0,poisson,4096,9.417038175465656,602.690443229802,5424.213989068218,28.962212457940495,37.2683837363792,38.73008184435449,15.82714519833052,16.210377720805504,16.22772920499778,20.569478161633015,21.45675476640463,1051.5065096904316,1.0,64,94,1,14,0.02060636467889908
fully-eager,512,16,20.0,poisson,8192,9.454219506714907,605.070048429754,5445.630435867786,28.617864259470124,36.07294634509062,38.435523303436554,15.690025119554429,16.098380931431336,16.12266909685873,20.404834765940905,20.70566825568676,1042.7786300530795,1.0,64,94,1,14,0.01030318233944954
fully-eager,512,16,20.0,poisson,16384,9.44505105939196,604.4832678010854,5440.349410209768,29.476134425404567,37.869449547148996,39.24243484924219,15.741426800747238,16.14167184258501,16.159301264477627,20.42802795767784,20.615742076188326,1044.698710563979,1.0,64,94,1,14,0.00515159116972477
fully-eager,2048,1,0.0,burst,512,1.102036994108157,70.53036762292204,2327.5021315564277,63.85013507679105,63.85013507679105,63.85013507679105,13.39194727026754,13.39194727026754,13.39194727026754,13.48167760297656,13.50387902930379,907.3974317871034,1.0,64,63,4,0,0.06153801305970149
fully-eager,2048,1,0.0,burst,1024,1.14580115371642,73.33127383785089,2419.9320366490792,32.347734086215496,32.347734086215496,32.347734086215496,13.339804677617929,13.339804677617929,13.339804677617929,13.440338149666786,13.526823269203305,872.7389690466225,1.0,64,63,2,0,0.031715745192307694
fully-eager,2048,1,0.0,burst,2048,1.1636529486631852,74.47378871444386,2457.635027576647,16.891997307538986,16.891997307538986,16.891997307538986,13.371543382250128,13.371543382250128,13.371543382250128,13.469992764294147,13.522351859137416,859.3500419519842,1.0,64,63,1,0,0.01610565185546875
fully-eager,2048,1,0.0,burst,4096,1.1683247047802974,74.77278110593903,2467.501776495988,16.874296125024557,16.874296125024557,16.874296125024557,13.318081844657186,13.318081844657186,13.318081844657186,13.435274362564087,13.497401308268309,855.9134523384273,1.0,64,63,1,0,0.008052825927734375
fully-eager,2048,1,0.0,burst,8192,1.1465630458933007,73.38003493717125,2421.541152926651,17.038927879184484,17.038927879184484,17.038927879184484,13.56908039648145,13.56908039648145,13.56908039648145,13.931708689779043,14.038027878850698,872.1587439067662,1.0,64,63,1,0,0.0040264129638671875
fully-eager,2048,1,0.0,burst,16384,1.1630278834139933,74.43378453849557,2456.3148897703536,16.899720765650272,16.899720765650272,16.899720765650272,13.380123302340508,13.380123302340508,13.380123302340508,13.486110139638186,13.536570090800524,859.8114061169326,1.0,64,63,1,0,0.0020132064819335938
fully-eager,2048,1,20.0,poisson,512,1.102848603010421,70.58231059266694,2329.216249558009,64.31216700002551,64.31216700002551,64.31216700002551,13.370041809384785,13.370041809384785,13.370041809384785,13.476336328312755,13.594344975426793,906.7296986468136,1.0,64,63,4,0,0.06153801305970149
fully-eager,2048,1,20.0,poisson,1024,1.1386479233494409,72.87346709436422,2404.824414114019,32.634531147778034,32.634531147778034,32.634531147778034,13.423789972587237,13.423789972587237,13.423789972587237,13.552166195586324,13.650470385327935,878.2198810949922,1.0,64,63,2,0,0.031715745192307694
fully-eager,2048,1,20.0,poisson,2048,1.1620263400028523,74.36968576018255,2454.199630086024,16.96317782625556,16.96317782625556,16.96317782625556,13.391345480663908,13.391345480663908,13.391345480663908,13.524827593937516,14.175948137417436,860.5524841696024,1.0,64,63,1,0,0.01610565185546875
