batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,512,8192,8704,4325632,64,32,4,2,0.6464800238609314,0.44574400782585144,1.450339236222567,1.0,6.103515625e-05,ok,
1,512,8192,8704,4325632,64,64,4,2,0.6464800238609314,0.4002079963684082,1.6153600870728717,1.113780863627536,6.103515625e-05,ok,
1,512,8192,8704,4325632,128,64,8,2,0.6464800238609314,0.4524959921836853,1.4286977896557824,0.9850783554452058,6.103515625e-05,ok,
1,512,16384,16896,8519936,32,16,4,2,1.1954240202903748,1.6799359917640686,0.7115890284814261,0.49210446083610976,3.0517578125e-05,ok,
1,512,16384,16896,8519936,32,32,2,2,1.1954240202903748,1.2179200053215027,0.9815291768483682,0.6787834930488735,3.0517578125e-05,ok,
1,512,16384,16896,8519936,32,32,4,2,1.1954240202903748,1.0712319612503052,1.1159338626296371,0.7717320107788156,3.0517578125e-05,ok,
1,512,16384,16896,8519936,64,32,4,2,1.1954240202903748,0.8267039954662323,1.4460121480557224,1.0,3.0517578125e-05,ok,
1,512,16384,16896,8519936,64,64,4,2,1.1954240202903748,0.7087520062923431,1.6866605098501706,1.1664220885820489,3.0517578125e-05,ok,
1,512,16384,16896,8519936,128,64,8,2,1.1954240202903748,0.8395359814167023,1.4239104061664132,0.9847153829799931,3.0517578125e-05,ok,
1,768,0,768,295296,32,16,4,2,0.18025600165128708,0.12753599882125854,1.4133735048714795,0.6842303520261495,0.0009765625,ok,
1,768,0,768,295296,32,32,2,2,0.18025600165128708,0.10260799899697304,1.7567441467853269,0.8504600247788735,0.00048828125,ok,
1,768,0,768,295296,32,32,4,2,0.18025600165128708,0.0957919992506504,1.881743810144595,0.9109737979383891,0.00048828125,ok,
1,768,0,768,295296,64,32,4,2,0.18025600165128708,0.08726400136947632,2.065639883828866,1.0,0.00048828125,ok,
1,768,0,768,295296,64,64,4,2,0.18025600165128708,0.08382400125265121,2.1504103712251017,1.0410383668808258,0.00048828125,ok,
1,768,0,768,295296,128,64,8,2,0.18025600165128708,0.08286399766802788,2.175323502655928,1.053099100034684,0.00048828125,ok,
1,768,2048,2816,1868160,32,16,4,2,0.3386079967021942,0.3655039966106415,0.9264139375824701,0.535020158951048,0.0001220703125,ok,
1,768,2048,2816,1868160,32,32,2,2,0.3386079967021942,0.2627520114183426,1.2886980193772026,0.7442455161742573,0.0001220703125,ok,
1,768,2048,2816,1868160,32,32,4,2,0.3386079967021942,0.24516800045967102,1.3811263952364519,0.797624510528388,0.0001220703125,ok,
1,768,2048,2816,1868160,64,32,4,2,0.3386079967021942,0.1955520063638687,1.7315495913252739,1.0,0.0001220703125,ok,
1,768,2048,2816,1868160,64,64,4,2,0.3386079967021942,0.18409600108861923,1.8393012053488156,1.0622284308594778,0.0001220703125,ok,
1,768,2048,2816,1868160,128,64,8,2,0.3386079967021942,0.1788800060749054,1.8929337276542983,1.093202145140704,0.0001220703125,ok,
1,768,8192,8960,6586752,32,16,4,2,0.8915359973907471,1.0820479989051819,0.8239338719657583,0.48043710300564296,6.103515625e-05,ok,
1,768,8192,8960,6586752,32,32,2,2,0.8915359973907471,0.7440159916877747,1.1982753157876733,0.6987161723873478,6.103515625e-05,ok,
1,768,8192,8960,6586752,32,32,4,2,0.8915359973907471,0.6952320039272308,1.2823575329596926,0.747744642033872,6.103515625e-05,ok,
1,768,8192,8960,6586752,64,32,4,2,0.8915359973907471,0.5198560059070587,1.7149671971860192,1.0,6.103515625e-05,ok,
1,768,8192,8960,6586752,64,64,4,2,0.8915359973907471,0.4785439968109131,1.8630178276857987,1.086328549457218,6.103515625e-05,ok,
1,768,8192,8960,6586752,128,64,8,2,0.8915359973907471,0.4675839990377426,1.9066862835885532,1.1117916929939615,6.103515625e-05,ok,
1,768,16384,17152,12878208,32,16,4,2,1.6546080112457275,2.0292320251464844,0.8153863090773398,0.46992359846113646,3.0517578125e-05,ok,
1,768,16384,17152,12878208,32,32,2,2,1.6546080112457275,1.3806880116462708,1.1983938422648044,0.6906585755259831,3.0517578125e-05,ok,
