batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,768,16384,17152,12878208,32,32,4,2,1.6546080112457275,1.2956960201263428,1.2770032365186916,0.7359627571260362,3.0517578125e-05,ok,
1,768,16384,17152,12878208,64,32,4,2,1.6546080112457275,0.9535840153694153,1.7351465466886395,1.0,3.0517578125e-05,ok,
1,768,16384,17152,12878208,64,64,4,2,1.6546080112457275,0.871423989534378,1.8987404881174121,1.0942824925888686,3.0517578125e-05,ok,
1,768,16384,17152,12878208,128,64,8,2,1.6546080112457275,0.8540639877319336,1.9373349479817452,1.1165252593096318,3.0517578125e-05,ok,
1,1024,0,1024,524800,32,16,4,2,0.2009119987487793,0.14707200229167938,1.366079169509926,0.6705830948541693,0.00048828125,ok,
1,1024,0,1024,524800,32,32,2,2,0.2009119987487793,0.11958400160074234,1.680090949118499,0.8247256919235056,0.00048828125,ok,
1,1024,0,1024,524800,32,32,4,2,0.2009119987487793,0.11008000001311302,1.825145337253326,0.8959302184902388,0.00048828125,ok,
1,1024,0,1024,524800,64,32,4,2,0.2009119987487793,0.09862399846315384,2.0371512195770536,1.0,0.00048828125,ok,
1,1024,0,1024,524800,64,64,4,2,0.2009119987487793,0.09291199967265129,2.1623902128533983,1.06147751432137,0.00048828125,ok,
1,1024,0,1024,524800,128,64,8,2,0.2009119987487793,0.0944640003144741,2.126863123305555,1.0440379206346433,0.00048828125,ok,
1,1024,2048,3072,2621952,32,16,4,2,0.3536960035562515,0.37916800379753113,0.9328213351702503,0.5430416001487727,0.0001220703125,ok,
1,1024,2048,3072,2621952,32,32,2,2,0.3536960035562515,0.27801598608493805,1.2722146252704767,0.7406192802327578,0.0001220703125,ok,
1,1024,2048,3072,2621952,32,32,4,2,0.3536960035562515,0.25671999156475067,1.3777501370283478,0.8020567399227789,0.0001220703125,ok,
1,1024,2048,3072,2621952,64,32,4,2,0.3536960035562515,0.20590399950742722,1.7177714099890191,1.0,0.0001220703125,ok,
1,1024,2048,3072,2621952,64,64,4,2,0.3536960035562515,0.19009599834680557,1.860617828003822,1.0831579901633805,0.0001220703125,ok,
1,1024,2048,3072,2621952,128,64,8,2,0.3536960035562515,0.1886560022830963,1.874819773958196,1.0914256478224778,0.0001220703125,ok,
1,1024,8192,9216,8913408,32,16,4,2,0.8993439972400665,1.0858719944953918,0.828222849285283,0.4856705014829089,6.103515625e-05,ok,
1,1024,8192,9216,8913408,32,32,2,2,0.8993439972400665,0.7520480155944824,1.1958598102664348,0.7012530917935351,6.103515625e-05,ok,
1,1024,8192,9216,8913408,32,32,4,2,0.8993439972400665,0.7072800099849701,1.2715529698897865,0.7456396175031589,6.103515625e-05,ok,
1,1024,8192,9216,8913408,64,32,4,2,0.8993439972400665,0.5273759961128235,1.7053184139379498,1.0,6.103515625e-05,ok,
1,1024,8192,9216,8913408,64,64,4,2,0.8993439972400665,0.4896319955587387,1.8367753851824757,1.0770864667677886,6.103515625e-05,ok,
1,1024,8192,9216,8913408,128,64,8,2,0.8993439972400665,0.48659200966358185,1.8482506481391907,1.0838155695927656,6.103515625e-05,ok,
1,1024,16384,17408,17302016,32,16,4,2,1.6862720251083374,2.077712059020996,0.8116004418354762,0.4637870678666819,6.103515625e-05,ok,
1,1024,16384,17408,17302016,32,32,2,2,1.6862720251083374,1.4208799600601196,1.1867800746777994,0.6781825423759387,6.103515625e-05,ok,
1,1024,16384,17408,17302016,32,32,4,2,1.6862720251083374,1.3337119817733765,1.2643449621455585,0.7225068057372609,6.103515625e-05,ok,
1,1024,16384,17408,17302016,64,32,4,2,1.6862720251083374,0.9636159837245941,1.749941941177142,1.0,6.103515625e-05,ok,
1,1024,16384,17408,17302016,64,64,4,2,1.6862720251083374,0.8716800212860107,1.934508057923066,1.1054698515436294,6.103515625e-05,ok,
1,1024,16384,17408,17302016,128,64,8,2,1.6862720251083374,0.8627839982509613,1.9544544503917016,1.1168681682530504,6.103515625e-05,ok,
1,1536,0,1536,1180416,32,16,4,2,0.3176320046186447,0.24766400456428528,1.282511785180305,0.5565605022728025,0.00048828125,ok,
1,1536,0,1536,1180416,32,32,2,2,0.3176320046186447,0.17230399698019028,1.8434395613884844,0.7999814583003532,0.00048828125,ok,
1,1536,0,1536,1180416,32,32,4,2,0.3176320046186447,0.17284800112247467,1.83763770802059,0.797463678376721,0.00048828125,ok,
1,1536,0,1536,1180416,64,32,4,2,0.3176320046186447,0.13784000277519226,2.3043528600088687,1.0,0.00048828125,ok,
1,1536,0,1536,1180416,64,64,4,2,0.3176320046186447,0.12054400146007538,2.63498806055352,1.1434828867933788,0.00048828125,ok,
1,1536,0,1536,1180416,128,64,8,2,0.3176320046186447,0.12851200252771378,2.4716135331417544,1.0725846618526305,0.00048828125,ok,
1,1536,2048,3584,4326144,32,16,4,2,0.5851359963417053,0.6786240041255951,0.8622388727549525,0.403852505592349,0.0001220703125,ok,
1,1536,2048,3584,4326144,32,32,2,2,0.5851359963417053,0.47259199619293213,1.2381419936338236,0.5799167286560426,0.0001220703125,ok,
1,1536,2048,3584,4326144,32,32,4,2,0.5851359963417053,0.4668159931898117,1.2534617598326019,0.5870921485541245,0.0001220703125,ok,
