implementation,decode_requests,decode_context_length,prefill_requests,prefill_tokens,prefill_chunk_size,prefill_prefix_length,decode_only_median_ms,prefill_only_median_ms,mixed_median_ms,decode_only_median_wall_ms,prefill_only_median_wall_ms,mixed_median_wall_ms,incremental_prefill_ms,incremental_decode_ms,decode_stretch,separate_sum_ms,packing_benefit_ms,packing_speedup,wall_incremental_prefill_ms,wall_decode_stretch,wall_packing_benefit_ms,wall_packing_speedup,mixed_scheduled_tokens_per_second,mixed_peak_gpu_memory_bytes,status,error
custom-kernels,8,128,2,2048,1024,4096,14.422975540161133,22.54934310913086,24.993247985839844,14.446474611759186,22.571861743927002,25.01562424004078,10.570272445678711,2.4439048767089844,1.732877374453387,36.97231864929199,11.979070663452148,1.47929227406694,10.569149628281593,1.7316075314096688,12.002712115645409,1.4798086188244504,82262.21742627633,19593795072,ok,
custom-kernels,8,128,2,2048,1024,16384,14.422975540161133,43.2982063293457,45.355072021484375,14.446474611759186,43.331725522875786,45.37818022072315,30.932096481323242,2.056865692138672,3.144640431178161,57.721181869506836,12.366109848022461,1.2726510905365715,30.931705608963966,3.1411248377362657,12.40001991391182,1.2732595237093491,45331.20350963366,19593801216,ok,
custom-kernels,8,128,2,4096,2048,0,14.422975540161133,29.00476837158203,32.1187858581543,14.446474611759186,29.026079922914505,32.14056044816971,17.695810317993164,3.1140174865722656,2.2269181396528577,43.427743911743164,11.308958053588867,1.3520979312086219,17.694085836410522,2.224803027169538,11.331994086503983,1.3525761196597086,127775.68922201582,19734114304,ok,
custom-kernels,8,128,2,4096,2048,4096,14.422975540161133,42.396095275878906,45.55507278442383,14.446474611759186,42.417680844664574,45.578183606266975,31.132097244262695,3.158977508544922,3.1585072482148084,56.81907081604004,11.263998031616211,1.247261113705598,31.13170899450779,3.154969280129223,11.285971850156784,1.2476178504095756,90088.75958602877,19734116352,ok,
custom-kernels,8,128,2,4096,2048,16384,14.422975540161133,82.60185241699219,85.9850845336914,14.446474611759186,82.62407965958118,86.00828610360622,71.56210899353027,3.3832321166992188,5.961674433563574,97.02482795715332,11.039743423461914,1.1283913772177108,71.56181149184704,5.95358303081064,11.062268167734146,1.1286186327955479,47729.20817902942,19734122496,ok,
custom-kernels,8,128,2,8192,4096,0,14.422975540161133,61.747135162353516,67.87862396240234,14.446474611759186,61.769358813762665,67.90538504719734,53.45564842224121,6.131488800048828,4.706284342880055,76.17011070251465,8.291486740112305,1.1221516621301122,53.458910435438156,4.700481388858948,8.310448378324509,1.1223827590779194,120803.863150525,20021507072,ok,
custom-kernels,8,128,2,8192,4096,4096,14.422975540161133,88.99139404296875,94.61043548583984,14.446474611759186,89.01329152286053,94.63292174041271,80.18745994567871,5.619041442871094,6.5597029699173195,103.41436958312988,8.803934097290039,1.0930545774584,80.18644712865353,6.550589281026605,8.826844394207,1.0932745627195142,86671.20025282282,20021509120,ok,
custom-kernels,8,128,2,8192,4096,16384,14.422975540161133,169.3559112548828,174.1426544189453,14.446474611759186,169.37917470932007,174.16556365787983,159.71967887878418,4.7867431640625,12.073975576956418,183.77888679504395,9.636232376098633,1.055335279046087,159.71908904612064,12.055921485239868,9.660085663199425,1.05546495794183,47087.83168236757,20021515264,ok,
custom-kernels,8,2048,2,512,256,0,14.392512321472168,16.106239318847656,22.201568603515625,14.41413164138794,16.128435730934143,22.224754095077515,7.809056282043457,6.095329284667969,1.5425777034349408,30.498751640319824,8.2971830368042,1.3737205773600312,7.810622453689575,1.541872562843993,8.317813277244568,1.374258956551823,23421.768492414445,19483837952,ok,
custom-kernels,8,2048,2,512,256,4096,14.392512321472168,16.247360229492188,22.95529556274414,14.41413164138794,16.269654035568237,22.981271147727966,8.562783241271973,6.707935333251953,1.5949470842902924,30.639872550964355,7.684576988220215,1.334762711602463,8.567139506340027,1.5943569629779721,7.7025145292282104,1.3351648601034725,22652.725101215718,19483840000,ok,
custom-kernels,8,2048,2,512,256,16384,14.392512321472168,29.748767852783203,37.68159866333008,14.41413164138794,29.770884662866592,37.708282470703125,23.28908634185791,7.932830810546875,2.6181390588155313,44.14128017425537,6.459681510925293,1.1714280110204438,23.294150829315186,2.6160634167118086,6.476733833551407,1.1717589189744562,13799.839137558645,19483846144,ok,
custom-kernels,8,2048,2,2048,1024,0,14.392512321472168,16.454208374023438,24.45929527282715,14.41413164138794,16.476215794682503,24.48112517595291,10.06678295135498,8.005086898803711,1.6994458456246282,30.846720695495605,6.387425422668457,1.2611451127851796,10.066993534564972,1.698411377460933,6.409222260117531,1.2618026015574284,84058.02281164234,19593797120,ok,
