batch_size,context_length,k_splits,num_kv_blocks,production_programs,splitk_programs,production_median_ms,splitk_median_ms,speedup,kv_bytes,production_gbps,splitk_gbps,max_abs_error,status,error
32,4096,auto(2),256,384,768,0.6287040114402771,0.6085920035839081,1.0330467829645023,134217728,213.483174208679,220.53810633332625,6.103515625e-05,ok,
32,8192,1,512,384,384,1.199999988079071,1.199999988079071,1.0,268435456,223.69621555555557,223.69621555555557,0.0,ok,
32,8192,2,512,384,768,1.199999988079071,1.153872013092041,1.0399766823908143,268435456,223.69621555555557,232.63884811684713,3.0517578125e-05,ok,
32,8192,4,512,384,1536,1.199999988079071,1.155504047870636,1.0385078185493442,268435456,223.69621555555557,232.31026883434387,3.0517578125e-05,ok,
32,8192,8,512,384,3072,1.199999988079071,1.1381759643554688,1.0543185110736477,268435456,223.69621555555557,235.84706091734313,3.0517578125e-05,ok,
32,8192,16,512,384,6144,1.199999988079071,1.113856017589569,1.0773385151484132,268435456,223.69621555555557,240.99654871094157,3.0517578125e-05,ok,
32,8192,auto(2),512,384,768,1.199999988079071,1.155951976776123,1.038105399002643,268435456,223.69621555555557,232.22024910468124,3.0517578125e-05,ok,
32,16384,1,1024,384,384,2.4425759315490723,2.4425759315490723,1.0,536870912,219.7970204592651,219.7970204592651,0.0,ok,
32,16384,2,1024,384,768,2.4425759315490723,2.247920036315918,1.0865937809568051,536870912,219.7970204592651,238.83007550387313,3.0517578125e-05,ok,
32,16384,4,1024,384,1536,2.4425759315490723,2.252768039703369,1.0842554086796685,536870912,219.7970204592651,238.31610824463397,1.52587890625e-05,ok,
32,16384,8,1024,384,3072,2.4425759315490723,2.213263988494873,1.103608039640198,536870912,219.7970204592651,242.56975886780603,1.52587890625e-05,ok,
32,16384,16,1024,384,6144,2.4425759315490723,2.157871961593628,1.131937378594597,536870912,219.7970204592651,248.79646316156357,1.52587890625e-05,ok,
32,16384,auto(2),1024,384,768,2.4425759315490723,2.2429120540618896,1.0890199315330236,536870912,219.7970204592651,239.3633361717115,3.0517578125e-05,ok,
64,512,1,32,768,768,0.17083200067281723,0.17083200067281723,1.0,33554432,196.4177195598411,196.4177195598411,0.0,ok,
64,512,2,32,768,1536,0.17083200067281723,0.20236800611019135,0.8441650632254466,33554432,196.4177195598411,165.8089766508313,6.103515625e-05,ok,
64,512,4,32,768,3072,0.17083200067281723,0.20216000080108643,0.8450336367029692,33554432,196.4177195598411,165.97957987255643,6.103515625e-05,ok,
64,512,8,32,768,6144,0.17083200067281723,0.200655996799469,0.8513675314849564,33554432,196.4177195598411,167.22366904156635,0.0001220703125,ok,
64,512,16,32,768,12288,0.17083200067281723,0.20467200130224228,0.8346622869072697,33554432,196.4177195598411,163.94246299692773,0.0001220703125,ok,
64,512,auto(1),32,768,768,0.17083200067281723,0.17083200067281723,1.0,33554432,196.4177195598411,196.4177195598411,0.0,ok,
64,2048,1,128,768,768,0.5867680013179779,0.5867680013179779,1.0,134217728,228.7407079093011,228.7407079093011,0.0,ok,
64,2048,2,128,768,1536,0.5867680013179779,0.6099839806556702,0.9619400179776239,134217728,228.7407079093011,220.0348406784875,6.103515625e-05,ok,
64,2048,4,128,768,3072,0.5867680013179779,0.6031360030174255,0.9728618394233469,134217728,228.7407079093011,222.5331058476412,6.103515625e-05,ok,
64,2048,8,128,768,6144,0.5867680013179779,0.5935199856758118,0.9886238298274898,134217728,228.7407079093011,226.13851469074447,6.103515625e-05,ok,
64,2048,16,128,768,12288,0.5867680013179779,0.5953439772129059,0.9855949228963795,134217728,228.7407079093011,225.44568037513093,6.103515625e-05,ok,
64,2048,auto(1),128,768,768,0.5867680013179779,0.5867680013179779,1.0,134217728,228.7407079093011,228.7407079093011,0.0,ok,
64,4096,1,256,768,768,1.1536160111427307,1.1536160111427307,1.0,268435456,232.69047361270364,232.69047361270364,0.0,ok,
