batch_size,context_length,variant,kernel_family,heads_per_program,num_warps,num_stages,median_ms,speedup_vs_production_default,max_abs_error,status,error
16,128,production-default,production,,,,0.05049600079655647,1.0,0.0,ok,
16,128,production-w4-s2,production,,4,2,0.05153600126504898,0.9798199231030014,0.0,ok,
16,128,production-w8-s2,production,,8,2,0.06347199901938438,0.795563422874628,0.000244140625,ok,
16,128,candidate-h1-w4-s2,candidate,1,4,2,0.05556799843907356,0.9087244855853828,0.000244140625,ok,
16,128,candidate-h1-w8-s2,candidate,1,8,2,0.05697600170969963,0.8862678896606394,0.000244140625,ok,
16,128,candidate-h2-w4-s2,candidate,2,4,2,0.06510399654507637,0.7756205989841854,0.000244140625,ok,
16,128,candidate-h3-w4-s2,candidate,3,4,2,0.08036800101399422,0.628309777018888,0.000244140625,ok,
16,128,candidate-h6-w4-s2,candidate,6,4,2,0.11726399883627892,0.4306181035754864,0.000244140625,ok,
16,256,production-default,production,,,,0.06763200089335442,1.0,0.0,ok,
16,256,production-w4-s2,production,,4,2,0.06905599683523178,0.9793791125009023,0.0,ok,
16,256,production-w8-s2,production,,8,2,0.09150399640202522,0.739115268760628,6.103515625e-05,ok,
16,256,candidate-h1-w4-s2,candidate,1,4,2,0.07097599655389786,0.9528855412688138,6.103515625e-05,ok,
16,256,candidate-h1-w8-s2,candidate,1,8,2,0.07257600128650665,0.9318783026687442,6.103515625e-05,ok,
16,256,candidate-h2-w4-s2,candidate,2,4,2,0.08876799792051315,0.7618962067153429,6.103515625e-05,ok,
16,256,candidate-h3-w4-s2,candidate,3,4,2,0.11911999806761742,0.5677636164413276,6.103515625e-05,ok,
16,256,candidate-h6-w4-s2,candidate,6,4,2,0.1932160034775734,0.35003312187442315,6.103515625e-05,ok,
16,512,production-default,production,,,,0.1024319976568222,1.0,0.0,ok,
16,512,production-w4-s2,production,,4,2,0.10364799946546555,0.9882679664352952,0.0,ok,
16,512,production-w8-s2,production,,8,2,0.1483200043439865,0.6906148507065845,6.103515625e-05,ok,
16,512,candidate-h1-w4-s2,candidate,1,4,2,0.10198400169610977,1.0043928062564889,6.103515625e-05,ok,
