batch_size,context_length,heads_per_program,num_warps,num_programs,kv_read_factor,production_median_ms,grouped_median_ms,speedup,production_gbps,grouped_gbps,max_abs_error,status,error
2,12288,1,4,24,6,0.9409439861774445,1.1101279854774475,0.847599554724098,160.47176688318316,136.01579815597532,3.814697265625e-06,ok,
2,12288,1,8,24,6,0.9409439861774445,0.9978559911251068,0.9429657130349113,160.47176688318316,151.31937408097286,3.814697265625e-06,ok,
2,12288,2,4,12,3,0.9409439861774445,1.8311360478401184,0.5138580430915097,160.47176688318316,41.229854051014726,3.814697265625e-06,ok,
2,12288,2,8,12,3,0.9409439861774445,1.6592640280723572,0.5670851475461576,160.47176688318316,45.50057779997127,3.814697265625e-06,ok,
2,12288,3,4,8,2,0.9409439861774445,2.707103967666626,0.34758324667836316,160.47176688318316,18.592432577823413,3.814697265625e-06,ok,
2,12288,3,8,8,2,0.9409439861774445,2.4734079837799072,0.38042409192011933,160.47176688318316,20.34910873178401,3.814697265625e-06,ok,
2,12288,6,4,4,1,0.9409439861774445,4.778000116348267,0.1969326000972536,160.47176688318316,5.267020382417603,3.814697265625e-06,ok,
2,12288,6,8,4,1,0.9409439861774445,4.3941919803619385,0.21413356320857455,160.47176688318316,5.727065206178623,3.814697265625e-06,ok,
2,16384,1,4,24,6,1.7178879976272583,1.6932960152626038,1.0145231442955003,117.19424798244803,118.89627695649978,1.9073486328125e-06,ok,
2,16384,1,8,24,6,1.7178879976272583,1.5410879850387573,1.1147241522255165,117.19424798244803,130.63925872794132,1.9073486328125e-06,ok,
2,16384,2,4,12,3,1.7178879976272583,2.6689759492874146,0.6436506099224739,117.19424798244803,37.71607459665417,1.9073486328125e-06,ok,
2,16384,2,8,12,3,1.7178879976272583,2.4240479469299316,0.7086856511245876,117.19424798244803,41.526940969748786,1.9073486328125e-06,ok,
2,16384,3,4,8,2,1.7178879976272583,3.779647946357727,0.4545100554359059,117.19424798244803,17.755321382423915,1.9073486328125e-06,ok,
2,16384,3,8,8,2,1.7178879976272583,3.461199998855591,0.4963272848131457,117.19424798244803,19.388900965615633,1.9073486328125e-06,ok,
2,16384,6,4,4,1,1.7178879976272583,6.53875207901001,0.26272413709365666,117.19424798244803,5.131626278921445,1.9073486328125e-06,ok,
