pattern,batch_size,max_prompt_length,total_prompt_tokens,causal_attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup,triton_pairs_per_second,max_abs_error,status,error
ramp,4,128,320,15520,64,32,4,2,0.1892160028219223,0.04948800057172775,3.8234723697853426,313611376.9135886,0.0009765625,ok,
ramp,4,128,320,15520,64,64,4,2,0.1892160028219223,0.0493599995970726,3.833387446647065,314424637.8989121,0.0009765625,ok,
ramp,4,128,320,15520,128,64,4,2,0.1892160028219223,0.05507199838757515,3.4357932953566386,281812907.7281039,0.0009765625,ok,
ramp,4,256,640,61760,32,32,4,2,0.19804800301790237,0.05689600110054016,3.480877376037982,1085489292.8391352,0.0009765625,ok,
ramp,4,256,640,61760,64,32,4,2,0.19804800301790237,0.05398399941623211,3.668642656334065,1144042691.6837468,0.0009765625,ok,
ramp,4,256,640,61760,64,64,4,2,0.19804800301790237,0.053488001227378845,3.702662250847537,1154651484.1236389,0.00048828125,ok,
ramp,4,256,640,61760,128,64,4,2,0.19804800301790237,0.06183999963104725,3.202587390030818,998706344.8977273,0.00048828125,ok,
ramp,4,512,1280,246400,32,32,4,2,0.20811200141906738,0.07516800239682198,2.7686248773835467,3277990529.7898073,0.00048828125,ok,
ramp,4,512,1280,246400,64,32,4,2,0.20811200141906738,0.06747199967503548,3.084420239823846,3651885244.052839,0.00048828125,ok,
ramp,4,512,1280,246400,64,64,4,2,0.20811200141906738,0.06548799946904182,3.17786469439257,3762521408.467834,0.00048828125,ok,
ramp,4,512,1280,246400,128,64,4,2,0.20811200141906738,0.08190399780869484,2.540926047409305,3008400158.628672,0.00048828125,ok,
ramp,4,2048,5120,3934720,32,32,4,2,0.3686240017414093,0.3138879984617233,1.1743806821156964,12535426710.428415,0.0009765625,ok,
ramp,4,2048,5120,3934720,64,32,4,2,0.3686240017414093,0.20387200266122818,1.8081148805603664,19299952659.700314,0.0009765625,ok,
ramp,4,2048,5120,3934720,64,64,4,2,0.3686240017414093,0.19990399479866028,1.844005179149525,19683048375.11116,0.0009765625,ok,
ramp,4,2048,5120,3934720,128,64,4,2,0.3686240017414093,0.25227199494838715,1.4612165009311748,15597133565.321081,0.0009765625,ok,
ramp,4,4096,10240,15733760,32,32,4,2,0.7348479926586151,0.9828639924526215,0.7476598983190832,16008074485.19734,0.0009765625,ok,
ramp,4,4096,10240,15733760,64,32,4,2,0.7348479926586151,0.5373280048370361,1.3675966747377777,29281481438.45922,0.0009765625,ok,
ramp,4,4096,10240,15733760,64,64,4,2,0.7348479926586151,0.5616160035133362,1.3084527293766217,28015156088.09816,0.0009765625,ok,
ramp,4,4096,10240,15733760,128,64,4,2,0.7348479926586151,0.6659519970417023,1.103454897534602,23625967141.61478,0.0009765625,ok,
ramp,4,8192,20480,62924800,32,32,4,2,1.9749600291252136,3.626703977584839,0.5445605820964785,17350409735.371906,0.0009765625,ok,
ramp,4,8192,20480,62924800,64,32,4,2,1.9749600291252136,1.7922880053520203,1.1019211327798375,35108643148.923515,0.0009765625,ok,
ramp,4,8192,20480,62924800,64,64,4,2,1.9749600291252136,1.87227201461792,1.0548467389917429,33608791622.536346,0.0009765625,ok,
ramp,4,8192,20480,62924800,128,64,4,2,1.9749600291252136,2.0975199937820435,0.9415691077938945,29999618686.132347,0.0009765625,ok,
ramp,4,16384,40960,251678720,32,32,4,2,5.978255987167358,13.851408004760742,0.43159915476553906,18169901566.21607,0.0009765625,ok,
ramp,4,16384,40960,251678720,64,32,4,2,5.978255987167358,6.519488096237183,0.9169824223803393,38604061589.63003,0.0009765625,ok,
ramp,4,16384,40960,251678720,64,64,4,2,5.978255987167358,6.7720959186553955,0.8827778074877513,37164080813.84219,0.0009765625,ok,
ramp,4,16384,40960,251678720,128,64,4,2,5.978255987167358,7.27675199508667,0.8215555499491988,34586683752.57749,0.0009765625,ok,
ramp,8,128,576,26400,32,32,4,2,0.4002240002155304,0.0514880008995533,7.773150893862004,512740823.85725415,0.0009765625,ok,
ramp,8,128,576,26400,64,32,4,2,0.4002240002155304,0.050992000848054886,7.848760463589401,517728262.4909401,0.0009765625,ok,
ramp,8,128,576,26400,64,64,4,2,0.4002240002155304,0.04980799928307533,8.0353358090319,530035343.3182503,0.0009765625,ok,
