component,split,shape,features,baseline_action,selected_action,oracle_action,baseline_ms,selected_ms,oracle_ms,speedup_vs_baseline,oracle_regret,oracle_margin,robust_winner
decode,train,1x128,"{""batch_size"": 1, ""context_length"": 128, ""total_kv_tokens"": 128}",production-default,production-default,production-default,0.0457760002464056,0.0457760002464056,0.0457760002464056,1.0,1.0,1.1607829050387488,True
decode,train,1x256,"{""batch_size"": 1, ""context_length"": 256, ""total_kv_tokens"": 256}",production-default,production-default,production-default,0.056703999638557434,0.056703999638557434,0.056703999638557434,1.0,1.0,1.1698645403920438,True
decode,train,1x512,"{""batch_size"": 1, ""context_length"": 512, ""total_kv_tokens"": 512}",production-default,production-default,production-default,0.08060800284147263,0.08060800284147263,0.08060800284147263,1.0,1.0,1.110361212837795,True
decode,train,1x1024,"{""batch_size"": 1, ""context_length"": 1024, ""total_kv_tokens"": 1024}",production-default,production-default,production-default,0.12860800325870514,0.12860800325870514,0.12860800325870514,1.0,1.0,1.0686737413039002,True
decode,train,1x4096,"{""batch_size"": 1, ""context_length"": 4096, ""total_kv_tokens"": 4096}",production-default,production-default,production-default,0.4156000018119812,0.4156000018119812,0.4156000018119812,1.0,1.0,1.027410965562255,True
decode,train,1x8192,"{""batch_size"": 1, ""context_length"": 8192, ""total_kv_tokens"": 8192}",production-default,production-default,production-default,0.7977280020713806,0.7977280020713806,0.7977280020713806,1.0,1.0,1.0286413539500234,True
decode,train,1x16384,"{""batch_size"": 1, ""context_length"": 16384, ""total_kv_tokens"": 16384}",production-default,production-default,production-default,1.5669119954109192,1.5669119954109192,1.5669119954109192,1.0,1.0,1.0146836510264348,False
decode,train,4x128,"{""batch_size"": 4, ""context_length"": 128, ""total_kv_tokens"": 512}",production-default,production-default,production-default,0.04483199864625931,0.04483199864625931,0.04483199864625931,1.0,1.0,1.1695218196886983,True
decode,train,4x256,"{""batch_size"": 4, ""context_length"": 256, ""total_kv_tokens"": 1024}",production-default,production-default,production-default,0.05704000033438206,0.05704000033438206,0.05704000033438206,1.0,1.0,1.1481065758263602,True
decode,train,4x1024,"{""batch_size"": 4, ""context_length"": 1024, ""total_kv_tokens"": 4096}",production-default,production-default,production-default,0.128431998193264,0.128431998193264,0.128431998193264,1.0,1.0,1.0675221058587872,True
decode,train,4x2048,"{""batch_size"": 4, ""context_length"": 2048, ""total_kv_tokens"": 8192}",production-default,production-default,production-default,0.2239520028233528,0.2239520028233528,0.2239520028233528,1.0,1.0,1.0464385096057736,True
